"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_6331",5.85071399045068,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Graphostroma",NA,"positive"
"Pityogenes hopkinsi","ASV_6464",-2.14037173212311,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_6690",-2.46871614081308,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_7092",-3.20104992849874,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Mycocaliciales","f__Mycocaliciaceae","g__Chaenothecopsis",NA,"negative"
"Pityogenes hopkinsi","ASV_7183",-3.50840562570629,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus","negative"
"Pityogenes hopkinsi","ASV_7334",-3.44230404063878,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena",NA,"negative"
"Pityogenes hopkinsi","ASV_7449",-3.38726137169096,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,"negative"
"Pityogenes hopkinsi","ASV_7659",3.99496774393643,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__angustius","positive"
"Pityogenes hopkinsi","ASV_7916",-2.30360702001892,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_8076",-3.37038960169643,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Hohenbuehelia","s__canadensis","negative"
"Pityogenes hopkinsi","ASV_8751",-3.88780319568577,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","s__viridescens","negative"
"Pityogenes hopkinsi","ASV_9146",3.66506015690679,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Rhamphoria","s__pyriformis","positive"
"Pityogenes hopkinsi","ASV_9152",-3.04182803359717,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_9153",-3.77746035080678,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Sydowia","s__polyspora","negative"
"Pityogenes hopkinsi","ASV_9355",-3.36009996985736,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Pleurophoma",NA,"negative"
"Pityogenes hopkinsi","ASV_9406",-2.79300601576327,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiales_fam_Incertae_sedis","g__Filobasidiales_gen_Incertae_sedis",NA,"negative"
"Pityogenes hopkinsi","ASV_9415",-3.99402687364415,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_9574",-3.66003798309102,0.001,0.042,0.668481081081081,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA,"negative"
