	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16739	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	s__eucalypti
ASV_16740	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	NA	NA	NA
ASV_16741	NA	NA	NA	NA	NA	NA	NA
ASV_16742	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	NA	NA
ASV_16743	NA	NA	NA	NA	NA	NA	NA
ASV_16744	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__cinerea
ASV_16745	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16746	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	NA
ASV_16747	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	NA	NA	NA
ASV_16748	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16749	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16750	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporales_fam_Incertae_sedis	g__Lignosphaeria	s__thailandica
ASV_16751	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tricladiaceae	g__Tricladium	s__angustum
ASV_16752	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Exobasidiales	f__Exobasidiaceae	g__Exobasidium	NA
ASV_16753	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16754	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16755	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Hericiaceae	g__Hericiaceae_gen_Incertae_sedis	NA
