"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Anisandrus sayi","ASV_22950","Sporothrix",NA,69,32,6,3,29,3,34,0.0857142857142857,0.0571569896791347,0.025263375841551,1.13038321617266,0.2965,0.9695,0.593,1,1,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_6045","Sporothrix",NA,69,32,7,3,29,4,33,0.0833333333333333,0.094485785683554,0.034930467076661,-0.319275786543154,0.7665,0.563,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_6959","Ophiostoma","adjuncti",69,32,7,3,29,4,33,0.0833333333333333,0.0694849997008809,0.0283759097143351,0.488031353773885,0.501,0.8515,1,1,1,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_8974","Ophiostoma","karelicum",69,32,3,2,30,1,36,0.0606060606060606,0.060883271403974,0.0244605504722913,-0.0113329746289808,0.747,0.734,1,1,0.593235866702294,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_16537","Graphilbum",NA,69,32,3,2,30,1,36,0.0606060606060606,0.0458711418989363,0.0260963750247663,0.564634693253006,0.512,0.887,1,1,0.593235866702294,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_28495","Raffaelea","subfusca",69,32,3,2,30,1,36,0.0606060606060606,0.0393672772214996,0.0203486759146297,1.04374277096287,0.4265,1,0.853,1,0.593235866702294,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_5724","Graphilbum",NA,69,32,4,2,30,2,35,0.0588235294117647,0.0917743153471328,0.0268667301901191,-1.22645315236338,0.962,0.257,0.514,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_6746","Graphilbum",NA,69,32,4,2,30,2,35,0.0588235294117647,0.044279588228034,0.0262406507062956,0.554252306717428,0.497,0.8715,0.994,1,1,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_11600","Ophiostoma","undulatum",69,32,4,2,30,2,35,0.0588235294117647,0.058716629131985,0.0287557215070791,0.00371753077916505,0.692,0.704,1,1,1,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_22166","Grosmannia","cucullata",69,32,4,2,30,2,35,0.0588235294117647,0.0646346855627982,0.0271401671075104,-0.214116446962677,0.7865,0.6435,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_23023","Sporothrix",NA,69,32,4,2,30,2,35,0.0588235294117647,0.0648857564764061,0.029528313286708,-0.205302179158682,0.766,0.638,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_15268","Grosmannia","olivacea",69,32,5,2,30,3,34,0.0571428571428571,0.0630117813341793,0.0307631199053166,-0.190777925300997,0.7365,0.6165,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_13560","Hawksworthiomyces",NA,69,32,7,2,30,5,32,0.0540540540540541,0.0697895618540144,0.0241075826823873,-0.652720266783799,0.9055,0.497,0.994,1,0.437395543342789,0.973131695423722,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_15738","Graphilbum",NA,69,32,7,2,30,5,32,0.0540540540540541,0.054946556459154,0.0259759250592821,-0.0343588304579377,0.7115,0.721,1,1,0.437395543342789,0.973131695423722,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_11554","Raffaelea","crossotarsi",69,32,3,1,31,2,35,0.0294117647058824,0.061634733364901,0.0247019772926405,-1.30446920411585,0.975,0.242,0.484,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_25723","Ceratocystiopsis","manitobensis",69,32,4,1,31,3,34,0.0285714285714286,0.0489794171340838,0.0262863926181045,-0.77637083410979,0.9075,0.4155,0.831,1,0.617888238417306,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_27488","Ceratocystiopsis","synnemata",69,32,4,1,31,3,34,0.0285714285714286,0.0238976631172738,0.0105710914408426,0.442127048120797,0.8365,1,1,1,0.617888238417306,1,"co-occurring",FALSE
